X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
544843.6966,4812246.7611,6336,10714,1683,Halifax Dr,Confederation Dr,544843.69662313,4812246.76108883,-80.44565802,43.46178702,Kitchener,2014/04/04 18:40:35+00,2019/01/18 11:50:25+00,Active,{782AA7AB-807A-4264-82AB-46D6A00DDF53}
537395.7202,4811897.8921,6339,11002,1966,Erb St W,Westmount Rd N,537395.72022117,4811897.8921001,-80.53774797,43.45905503,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:31:54+00,Active,{9AE97EB0-E348-4D39-83A5-E8EE697A575E}
538373.1496,4814046.3048,6340,11585,2532,King St N,Hickory St W,538373.14962064,4814046.30479691,-80.52551498,43.47834995,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:33:51+00,Active,{AEAB0B7E-E169-413F-B43F-1DED12AAB9A8}
545198.0865,4810465.5736,6341,10020,1019,River Rd E,Bradley Dr,545198.0865,4810465.57364438,-80.44142501,43.44572798,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:57:17+00,Active,{2D9B9870-A257-43AC-9619-AF425E60C418}
537627.0148,4814587.9685,6342,10165,1160,Hazel St,Smallwood Dr,537627.0148,4814587.9685,-80.53470323,43.48326503,Waterloo,2014/04/04 18:40:35+00,2019/01/18 14:13:04+00,Active,{9EA2DFE6-DB69-4DA5-9BEE-D42B93AA4160}
533666.1403,4813292.9746,6347,13253,4080,Laurelwood Dr,Brookmill Cres,533665.743,4813292.975,-80.583767,43.471794,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:37+00,Active,{72F5CE0B-951E-4396-AB58-F8ABB497475A}
538275.7909,4814783.7547,6349,10950,1916,King St N,Weber St N,538275.79093704,4814783.75469112,-80.52666695,43.48499496,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:31:44+00,Active,{0FA2F479-67EA-4749-AE27-5119AC8AA0BA}
541796.487,4808153.8029,6350,11965,2907,Ottawa St S,Alpine Rd,541796.699,4808153.591,-80.483636,43.425108,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:02+00,Active,{2154F63F-CDBD-4C1F-8EFA-18DDABCE591B}
539830.8665,4805728.8678,6352,12059,3000,Max Becker Dr,Copper Leaf Dr,539830.86646699,4805728.86778716,-80.50809804,43.40338303,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:19+00,Active,{AAA366CF-BA96-481D-963F-CD70475DC3A1}
556730.6172,4801590.96,6355,11215,2167,Elgin St N,Manchester St,556730.61715577,4801590.96004631,-80.29983201,43.36503799,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:32:35+00,Active,{78A4F29E-5060-4C2A-8B1F-6F85D6F8F506}
540908.252,4810309.2355,6357,11760,2705,Queen St S,Mill St,540908.25199102,4810309.23546657,-80.49444999,43.44456697,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:24+00,Active,{E22CE576-8100-4892-993E-358EB587E488}
538515.844,4810829.3496,6360,12338,3274,Glasgow St,Westmount Rd W,538515.84395619,4810829.34959884,-80.52397796,43.449377,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:36:16+00,Active,{59452EE4-6E27-4144-B3D5-A0D08667CA6D}
543140.2866,4814002.9736,6361,11481,2429,Stanley Ave,Schueller St,543140.28660014,4814002.97361685,-80.46657501,43.47770002,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:33:30+00,Active,{AC9C0454-A8A2-4D86-8E2E-C73A2EEC2ED2}
554362.3117,4803198.5828,6362,10645,1615,Coronation Blvd,693 Coronation Blvd,554362.31172381,4803198.58281935,-80.32889998,43.37968804,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:30:36+00,Active,{233D9A69-FBF7-4B9A-BBD7-A522C5C50168}
